Variable,Unit
Investment|Energy Supply|Electricity|Nuclear,billion US$2010/yr
Investment|Energy Supply|Electricity|Ocean,billion US$2010/yr
Investment|Energy Supply|Electricity|Oil,billion US$2010/yr
Investment|Energy Supply|Electricity|Oil|w/ CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Oil|w/o CCS,billion US$2010/yr
Investment|Energy Supply|Electricity|Other,billion US$2010/yr
Investment|Energy Supply|Electricity|Renewables (incl. Biomass),billion US$2010/yr
Investment|Energy Supply|Electricity|Solar,billion US$2010/yr
Investment|Energy Supply|Electricity|Transmission and Distribution,billion US$2010/yr
Investment|Energy Supply|Electricity|Wind,billion US$2010/yr
Investment|Energy Supply|Extraction|Bioenergy,billion US$2010/yr
Investment|Energy Supply|Extraction|Coal,billion US$2010/yr
Investment|Energy Supply|Extraction|Fossil,billion US$2010/yr
Investment|Energy Supply|Extraction|Gas,billion US$2010/yr
Investment|Energy Supply|Extraction|Oil,billion US$2010/yr
Investment|Energy Supply|Extraction|Uranium,billion US$2010/yr
Investment|Energy Supply|Heat,billion US$2010/yr
Investment|Energy Supply|Hydrogen,billion US$2010/yr
Investment|Energy Supply|Hydrogen|Biomass,billion US$2010/yr
Investment|Energy Supply|Hydrogen|Electricity,billion US$2010/yr
Investment|Energy Supply|Hydrogen|Fossil,billion US$2010/yr
Investment|Energy Supply|Hydrogen|Other,billion US$2010/yr
Investment|Energy Supply|Hydrogen|Renewable,billion US$2010/yr
Investment|Energy Supply|Liquids,billion US$2010/yr
Investment|Energy Supply|Liquids|Biomass,billion US$2010/yr
Investment|Energy Supply|Liquids|Coal and Gas,billion US$2010/yr
Investment|Energy Supply|Liquids|Oil,billion US$2010/yr
Investment|Energy Supply|Other,billion US$2010/yr
Investment|Infrastructure|Residential and Commercial|Building Retrofits,billion US$2010/yr
Investment|Infrastructure|Residential and Commercial|High-Efficiency Buildings,billion US$2010/yr
Investment|Infrastructure|Transportation,billion US$2010/yr
Investment|RnD|Energy Supply,billion US$2010/yr
Land Cover,million ha
Land Cover|Built-up Area,million ha
Land Cover|Cropland,million ha
Land Cover|Cropland|Cereals,million ha
Land Cover|Cropland|Energy Crops,million ha
Land Cover|Cropland|Energy Crops|2nd generation,million ha
Land Cover|Cropland|Energy Crops|Irrigated,million ha
Land Cover|Cropland|Irrigated,million ha
Land Cover|Cropland|Rainfed,million ha
Land Cover|Forest,million ha
Land Cover|Forest|Afforestation and Reforestation,million ha
Land Cover|Forest|Forestry|Harvested Area,million ha
Land Cover|Forest|Managed,million ha
Land Cover|Forest|Natural Forest,million ha
Land Cover|Forest|Secondary,million ha
Land Cover|Other Arable Land,million ha
Land Cover|Other Land,million ha
Land Cover|Pasture,million ha
Lifetime|Electricity|Biomass|w/ CCS,years
Lifetime|Electricity|Biomass|w/o CCS,years
Lifetime|Electricity|Coal|w/ CCS,years
Lifetime|Electricity|Coal|w/o CCS,years
Lifetime|Electricity|Gas|w/ CCS,years
Lifetime|Electricity|Gas|w/o CCS,years
Lifetime|Electricity|Geothermal,years
Lifetime|Electricity|Hydro,years
Lifetime|Electricity|Nuclear,years
Lifetime|Electricity|Solar|CSP,years
Lifetime|Electricity|Solar|PV,years
Lifetime|Electricity|Wind,years
Lifetime|Electricity|Wind|Offshore,years
Lifetime|Electricity|Wind|Onshore,years
Lifetime|Gases|Biomass|w/o CCS,years
Lifetime|Gases|Coal|w/o CCS,years
Lifetime|Hydrogen|Biomass|w/ CCS,years
Lifetime|Hydrogen|Biomass|w/o CCS,years
Lifetime|Hydrogen|Coal|w/ CCS,years
Lifetime|Hydrogen|Coal|w/o CCS,years
Lifetime|Hydrogen|Electricity,years
Lifetime|Hydrogen|Gas|w/ CCS,years
Lifetime|Hydrogen|Gas|w/o CCS,years
Lifetime|Liquids|Biomass|w/ CCS,years
Lifetime|Liquids|Biomass|w/o CCS,years
Lifetime|Liquids|Coal|w/ CCS,years
Lifetime|Liquids|Coal|w/o CCS,years
Lifetime|Liquids|Gas|w/ CCS,years
Lifetime|Liquids|Gas|w/o CCS,years
Lifetime|Liquids|Oil,years
Material recycling|Chemicals,Mt/year
Material recycling|Plastics,Mt/year
OM Cost|Fixed|Electricity|Biomass|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Electricity|Biomass|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Electricity|Coal|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Electricity|Coal|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Electricity|Gas|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Electricity|Gas|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Electricity|Geothermal,US$2010/kW/yr
OM Cost|Fixed|Electricity|Hydro,US$2010/kW/yr
OM Cost|Fixed|Electricity|Nuclear,US$2010/kW/yr
OM Cost|Fixed|Electricity|Solar|CSP,US$2010/kW/yr
OM Cost|Fixed|Electricity|Solar|PV,US$2010/kW/yr
OM Cost|Fixed|Electricity|Wind,US$2010/kW/yr
OM Cost|Fixed|Electricity|Wind|Offshore,US$2010/kW/yr
OM Cost|Fixed|Electricity|Wind|Onshore,US$2010/kW/yr
OM Cost|Fixed|Gases|Biomass|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Gases|Coal|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Biomass|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Biomass|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Coal|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Coal|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Electricity,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Gas|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Hydrogen|Gas|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Biomass|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Biomass|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Coal|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Coal|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Gas|w/ CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Gas|w/o CCS,US$2010/kW/yr
OM Cost|Fixed|Liquids|Oil,US$2010/kW/yr
Policy Cost|Additional Total Energy System Cost,billion US$2010/yr
Policy Cost|Area under MAC Curve,billion US$2010/yr
Policy Cost|Consumption Loss,billion US$2010/yr
Policy Cost|Default for CAV,billion US$2010/yr
Policy Cost|Equivalent Variation,billion US$2010/yr
Policy Cost|GDP Loss,billion US$2010/yr
Policy Cost|Other,billion US$2010/yr
Policy Cost|Welfare Change,billion US$2010/yr
Population,million
Population|Electricity Access,million
Population|Extreme poverty,million
Population|Female,million
Population|Male,million
Population|Relying on Solid Fuels,million
Population|Risk of Hunger,million
Population|Rural,million
Population|Urban,million
Population|Urban|Share,%
Population|Working Age,million
Premature Deaths|PM2.5,million
Price|Agriculture|Corn|Index,Index (2010 = 1)
Price|Agriculture|Livestock|Index,Index (2010 = 1)
Price|Agriculture|Non-Energy Crops and Livestock|Index,Index (2010 = 1)
Price|Agriculture|Non-Energy Crops|Index,Index (2010 = 1)
Price|Agriculture|Rice|Index,Index (2010 = 1)
Price|Agriculture|Soybean|Index,Index (2010 = 1)
Price|Agriculture|Wheat|Index,Index (2010 = 1)
Price|Carbon,US$2010/t CO2
Price|Final Energy|Residential and Commercial|Residential|Electricity,US$2010/GJ
Price|Final Energy|Residential and Commercial|Residential|Gases|Natural Gas,US$2010/GJ
Price|Final Energy|Residential and Commercial|Residential|Liquids|Biomass,US$2010/GJ
Price|Final Energy|Residential and Commercial|Residential|Liquids|Oil,US$2010/GJ
Price|Final Energy|Residential and Commercial|Residential|Solids|Biomass,US$2010/GJ
Price|Final Energy|Residential and Commercial|Residential|Solids|Coal,US$2010/GJ
Price|Final Energy|Transportation|Electricity,US$2010/GJ
Price|Final Energy|Transportation|Gases,US$2010/GJ
Price|Final Energy|Transportation|Hydrogen,US$2010/GJ
Price|Final Energy|Transportation|Liquids,US$2010/GJ
Price|Final Energy|Transportation|Liquids|Bioenergy,US$2010/GJ
Price|Primary Energy|Biomass,US$2010/GJ
Price|Primary Energy|Coal,US$2010/GJ
Price|Primary Energy|Gas,US$2010/GJ
Price|Primary Energy|Oil,US$2010/GJ
Price|Secondary Energy|Electricity,US$2010/GJ
Price|Secondary Energy|Gases|Natural Gas,US$2010/GJ
Price|Secondary Energy|Hydrogen,US$2010/GJ
Price|Secondary Energy|Liquids,US$2010/GJ
Price|Secondary Energy|Liquids|Biomass,US$2010/GJ
Price|Secondary Energy|Liquids|Oil,US$2010/GJ
Price|Secondary Energy|Solids|Biomass,US$2010/GJ
Price|Secondary Energy|Solids|Coal,US$2010/GJ
Primary Energy,EJ/yr
Primary Energy|Biomass,EJ/yr
Primary Energy|Biomass|1st Generation,EJ/yr
Primary Energy|Biomass|Electricity,EJ/yr
Primary Energy|Biomass|Electricity|w/ CCS,EJ/yr
Primary Energy|Biomass|Electricity|w/o CCS,EJ/yr
Primary Energy|Biomass|Energy Crops,EJ/yr
Primary Energy|Biomass|Gases,EJ/yr
Primary Energy|Biomass|Hydrogen,EJ/yr
Primary Energy|Biomass|Liquids,EJ/yr
Primary Energy|Biomass|Modern,EJ/yr
Primary Energy|Biomass|Modern|w/ CCS,EJ/yr
Primary Energy|Biomass|Modern|w/o CCS,EJ/yr
Primary Energy|Biomass|Residues,EJ/yr
Primary Energy|Biomass|Solids,EJ/yr
Primary Energy|Biomass|Traditional,EJ/yr
Primary Energy|Coal,EJ/yr
Primary Energy|Coal|Electricity,EJ/yr
Primary Energy|Coal|Electricity|w/ CCS,EJ/yr
Primary Energy|Coal|Electricity|w/o CCS,EJ/yr
Primary Energy|Coal|Gases,EJ/yr
Primary Energy|Coal|Hydrogen,EJ/yr
Primary Energy|Coal|Liquids,EJ/yr
Primary Energy|Coal|Solids,EJ/yr
Primary Energy|Coal|w/ CCS,EJ/yr
Primary Energy|Coal|w/o CCS,EJ/yr
Primary Energy|Fossil,EJ/yr
Primary Energy|Fossil|w/ CCS,EJ/yr
Primary Energy|Fossil|w/o CCS,EJ/yr
Primary Energy|Gas,EJ/yr
Primary Energy|Gas|Electricity,EJ/yr
Primary Energy|Gas|Electricity|w/ CCS,EJ/yr
Primary Energy|Gas|Electricity|w/o CCS,EJ/yr
Primary Energy|Gas|Gases,EJ/yr
Primary Energy|Gas|Hydrogen,EJ/yr
Primary Energy|Gas|Liquids,EJ/yr
Primary Energy|Gas|Solids,EJ/yr
Primary Energy|Gas|w/ CCS,EJ/yr
Primary Energy|Gas|w/o CCS,EJ/yr
Primary Energy|Geothermal,EJ/yr
Primary Energy|Hydro,EJ/yr
Primary Energy|Non-Biomass Renewables,EJ/yr
Primary Energy|Non-Biomass Renewables|Geothermal,EJ/yr
Primary Energy|Non-Biomass Renewables|Hydro,EJ/yr
Primary Energy|Non-Biomass Renewables|Ocean,EJ/yr
Primary Energy|Non-Biomass Renewables|Solar,EJ/yr
Primary Energy|Non-Biomass Renewables|Wind,EJ/yr
Primary Energy|Nuclear,EJ/yr
Primary Energy|Ocean,EJ/yr
Primary Energy|Oil,EJ/yr
Primary Energy|Oil|Electricity,EJ/yr
Primary Energy|Oil|Electricity|w/ CCS,EJ/yr
Primary Energy|Oil|Electricity|w/o CCS,EJ/yr
Primary Energy|Oil|Gases,EJ/yr
Primary Energy|Oil|Hydrogen,EJ/yr
Primary Energy|Oil|Liquids,EJ/yr
Primary Energy|Oil|Solids,EJ/yr
Primary Energy|Oil|w/ CCS,EJ/yr
Primary Energy|Oil|w/o CCS,EJ/yr
Primary Energy|Other,EJ/yr
Primary Energy|Renewables (incl. Biomass),EJ/yr
Primary Energy|Secondary Energy Trade,EJ/yr
Primary Energy|Solar,EJ/yr
Primary Energy|Wind,EJ/yr
Production|Cement,Mt/year
Production|Chemicals,Mt/year
Production|Non-ferrous metals,Mt/year
Production|Pulp and Paper,Mt/year
Production|Steel,Mt/year
Resource|Extraction|Coal,EJ/yr
Resource|Extraction|Fossil,EJ/yr
Resource|Extraction|Gas,EJ/yr
Resource|Extraction|Oil,EJ/yr
Resource|Use|Mineral|Electricity,Mt Fe-eq
Revenue|government,billion US$2010/yr
Secondary Energy,EJ/yr
Secondary Energy|Electricity,EJ/yr
Secondary Energy|Electricity|Biomass,EJ/yr
Secondary Energy|Electricity|Biomass|w/ CCS,EJ/yr
Secondary Energy|Electricity|Biomass|w/o CCS,EJ/yr
Secondary Energy|Electricity|Coal,EJ/yr
Secondary Energy|Electricity|Coal|w/ CCS,EJ/yr
Secondary Energy|Electricity|Coal|w/o CCS,EJ/yr
Secondary Energy|Electricity|Curtailment,EJ/yr
Secondary Energy|Electricity|Fossil,EJ/yr
Secondary Energy|Electricity|Fossil|w/ CCS,EJ/yr
Secondary Energy|Electricity|Fossil|w/o CCS,EJ/yr
Secondary Energy|Electricity|Gas,EJ/yr
Secondary Energy|Electricity|Gas|w/ CCS,EJ/yr
Secondary Energy|Electricity|Gas|w/o CCS,EJ/yr
Secondary Energy|Electricity|Geothermal,EJ/yr
Secondary Energy|Electricity|Hydro,EJ/yr
Secondary Energy|Electricity|Non-Biomass Renewables,EJ/yr
Secondary Energy|Electricity|Nuclear,EJ/yr
Secondary Energy|Electricity|Ocean,EJ/yr
Secondary Energy|Electricity|Oil,EJ/yr
Secondary Energy|Electricity|Oil|w/ CCS,EJ/yr
Secondary Energy|Electricity|Oil|w/o CCS,EJ/yr
Secondary Energy|Electricity|Other,EJ/yr
Secondary Energy|Electricity|Renewables (incl. Biomass),EJ/yr
Secondary Energy|Electricity|Solar,EJ/yr
Secondary Energy|Electricity|Solar|CSP,EJ/yr
Secondary Energy|Electricity|Solar|PV,EJ/yr
Secondary Energy|Electricity|Storage Losses,EJ/yr
Secondary Energy|Electricity|Transmission Losses,EJ/yr
Secondary Energy|Electricity|Wind,EJ/yr
Secondary Energy|Electricity|Wind|Offshore,EJ/yr
Secondary Energy|Electricity|Wind|Onshore,EJ/yr
Secondary Energy|Gases,EJ/yr
Secondary Energy|Gases|Biomass,EJ/yr
Secondary Energy|Gases|Coal,EJ/yr
Secondary Energy|Gases|Natural Gas,EJ/yr
Secondary Energy|Gases|Other,EJ/yr
Secondary Energy|Heat,EJ/yr
Secondary Energy|Heat|Biomass,EJ/yr
Secondary Energy|Heat|Coal,EJ/yr
Secondary Energy|Heat|Fossil,EJ/yr
Secondary Energy|Heat|Gas,EJ/yr
Secondary Energy|Heat|Geothermal,EJ/yr
Secondary Energy|Heat|Non-Biomass Renewables,EJ/yr
Secondary Energy|Heat|Nuclear,EJ/yr
Secondary Energy|Heat|Oil,EJ/yr
Secondary Energy|Heat|Other,EJ/yr
Secondary Energy|Heat|Renewables (incl. Biomass),EJ/yr
Secondary Energy|Heat|Solar,EJ/yr
Secondary Energy|Hydrogen,EJ/yr
Secondary Energy|Hydrogen|Biomass,EJ/yr
Secondary Energy|Hydrogen|Biomass|w/ CCS,EJ/yr
Secondary Energy|Hydrogen|Biomass|w/o CCS,EJ/yr
Secondary Energy|Hydrogen|Coal,EJ/yr
Secondary Energy|Hydrogen|Coal|w/ CCS,EJ/yr
Secondary Energy|Hydrogen|Coal|w/o CCS,EJ/yr
Secondary Energy|Hydrogen|Electricity,EJ/yr
Secondary Energy|Hydrogen|Fossil,EJ/yr
Secondary Energy|Hydrogen|Fossil|w/ CCS,EJ/yr
Secondary Energy|Hydrogen|Fossil|w/o CCS,EJ/yr
Secondary Energy|Hydrogen|Gas,EJ/yr
Secondary Energy|Hydrogen|Gas|w/ CCS,EJ/yr
Secondary Energy|Hydrogen|Gas|w/o CCS,EJ/yr
Secondary Energy|Hydrogen|Non-Biomass Renewables,EJ/yr
Secondary Energy|Hydrogen|Nuclear,EJ/yr
Secondary Energy|Hydrogen|Oil,EJ/yr
Secondary Energy|Hydrogen|Other,EJ/yr
Secondary Energy|Hydrogen|Renewables (incl. Biomass),EJ/yr
Secondary Energy|Hydrogen|Solar,EJ/yr
Secondary Energy|Liquids,EJ/yr
Secondary Energy|Liquids|Biomass,EJ/yr
Secondary Energy|Liquids|Biomass|1st Generation,EJ/yr
Secondary Energy|Liquids|Biomass|Energy Crops,EJ/yr
Secondary Energy|Liquids|Biomass|Other,EJ/yr
Secondary Energy|Liquids|Biomass|Residues,EJ/yr
Secondary Energy|Liquids|Biomass|w/ CCS,EJ/yr
Secondary Energy|Liquids|Biomass|w/o CCS,EJ/yr
Secondary Energy|Liquids|Coal,EJ/yr
Secondary Energy|Liquids|Coal|w/ CCS,EJ/yr
Secondary Energy|Liquids|Coal|w/o CCS,EJ/yr
Secondary Energy|Liquids|Fossil,EJ/yr
Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr
Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr
Secondary Energy|Liquids|Gas,EJ/yr
Secondary Energy|Liquids|Gas|w/ CCS,EJ/yr
Secondary Energy|Liquids|Gas|w/o CCS,EJ/yr
Secondary Energy|Liquids|Oil,EJ/yr
Secondary Energy|Liquids|Other,EJ/yr
Secondary Energy|Other Carrier,EJ/yr
Secondary Energy|Solids,EJ/yr
Secondary Energy|Solids|Biomass,EJ/yr
Secondary Energy|Solids|Coal,EJ/yr
Specific Energy Consumption|Production|Cement,MJ/t
Specific Energy Consumption|Production|Chemicals,MJ/t
Specific Energy Consumption|Production|Chemicals|Ammonia,MJ/t
Specific Energy Consumption|Production|Chemicals|High value chemicals,MJ/t
Specific Energy Consumption|Production|Chemicals|Methanol,MJ/t
Specific Energy Consumption|Production|Steel,MJ/t
Subsidies|Energy,billion US$2010/yr
Subsidies|Energy|Fossil,billion US$2010/yr
Temperature|Global Mean,°C
Trade,billion US$2010/yr
Trade|Primary Energy|Biomass|Volume,EJ/yr
Trade|Primary Energy|Coal|Volume,EJ/yr
Trade|Primary Energy|Gas|Volume,EJ/yr
Trade|Primary Energy|Oil|Volume,EJ/yr
Trade|Secondary Energy|Electricity|Volume,EJ/yr
Trade|Secondary Energy|Hydrogen|Volume,EJ/yr
Trade|Secondary Energy|Liquids|Biomass|Volume,EJ/yr
Trade|Secondary Energy|Liquids|Coal|Volume,EJ/yr
Trade|Secondary Energy|Liquids|Oil|Volume,EJ/yr
Trade|Uranium|Mass,kt U/yr
Transport|Stock|Road,million vehicles
Transport|Stock|Road|Freight,million vehicles
Transport|Stock|Road|Passenger,million vehicles
Transport|Stock|Road|Passenger|2W&3W,million vehicles
Transport|Stock|Road|Passenger|Bus,million vehicles
Transport|Stock|Road|Passenger|LDV,million vehicles
Unemployment,million
Unemployment|Rate,%
Value Added|Agriculture,billion US$2010/yr
Value Added|Industry,billion US$2010/yr
Value Added|Industry|Energy,billion US$2010/yr
Value Added|Industry|Energy Intensive,billion US$2010/yr
Value Added|Industry|Manufacturing,billion US$2010/yr
Value Added|Residential and Commercial|Commercial,billion US$2010/yr
Water Consumption,km3/yr
Water Consumption|Electricity,km3/yr
Water Consumption|Electricity w/o Hydro,km3/yr
Water Consumption|Electricity|Biomass,km3/yr
Water Consumption|Electricity|Biomass|w/ CCS,km3/yr
Water Consumption|Electricity|Biomass|w/o CCS,km3/yr
Water Consumption|Electricity|Coal,km3/yr
Water Consumption|Electricity|Coal|w/ CCS,km3/yr
Water Consumption|Electricity|Coal|w/o CCS,km3/yr
Water Consumption|Electricity|Cooling Pond,km3/yr
Water Consumption|Electricity|Dry Cooling,km3/yr
Water Consumption|Electricity|Fossil,km3/yr
Water Consumption|Electricity|Fossil|w/ CCS,km3/yr
Water Consumption|Electricity|Fossil|w/o CCS,km3/yr
Water Consumption|Electricity|Gas,km3/yr
Water Consumption|Electricity|Gas|w/ CCS,km3/yr
Water Consumption|Electricity|Gas|w/o CCS,km3/yr
Water Consumption|Electricity|Geothermal,km3/yr
Water Consumption|Electricity|Hydro,km3/yr
Water Consumption|Electricity|Non-Biomass Renewables,km3/yr
Water Consumption|Electricity|Nuclear,km3/yr
Water Consumption|Electricity|Oil,km3/yr
Water Consumption|Electricity|Oil|w/ CCS,km3/yr
Water Consumption|Electricity|Oil|w/o CCS,km3/yr
Water Consumption|Electricity|Once Through,km3/yr
Water Consumption|Electricity|Other,km3/yr
Water Consumption|Electricity|Sea Cooling,km3/yr
Water Consumption|Electricity|Solar,km3/yr
Water Consumption|Electricity|Solar|CSP,km3/yr
Water Consumption|Electricity|Solar|PV,km3/yr
Water Consumption|Electricity|Wet Tower,km3/yr
Water Consumption|Electricity|Wind,km3/yr
Water Consumption|Extraction,km3/yr
Water Consumption|Extraction|Coal,km3/yr
Water Consumption|Extraction|Gas,km3/yr
Water Consumption|Extraction|Oil,km3/yr
Water Consumption|Extraction|Uranium,km3/yr
Water Consumption|Gases,km3/yr
Water Consumption|Gases|Biomass,km3/yr
Water Consumption|Gases|Coal,km3/yr
Water Consumption|Heat,km3/yr
Water Consumption|Heat|Biomass,km3/yr
Water Consumption|Heat|Coal,km3/yr
Water Consumption|Heat|Gas,km3/yr
Water Consumption|Heat|Geothermal,km3/yr
Water Consumption|Heat|Oil,km3/yr
Water Consumption|Heat|Other,km3/yr
Water Consumption|Hydrogen,km3/yr
Water Consumption|Hydrogen|Biomass,km3/yr
Water Consumption|Hydrogen|Biomass|w/ CCS,km3/yr
Water Consumption|Hydrogen|Biomass|w/o CCS,km3/yr
Water Consumption|Hydrogen|Coal,km3/yr
Water Consumption|Hydrogen|Coal|w/ CCS,km3/yr
Water Consumption|Hydrogen|Coal|w/o CCS,km3/yr
Water Consumption|Hydrogen|Electricity,km3/yr
Water Consumption|Hydrogen|Fossil,km3/yr
Water Consumption|Hydrogen|Fossil|w/ CCS,km3/yr
Water Consumption|Hydrogen|Fossil|w/o CCS,km3/yr
Water Consumption|Hydrogen|Gas,km3/yr
Water Consumption|Hydrogen|Gas|w/ CCS,km3/yr
Water Consumption|Hydrogen|Gas|w/o CCS,km3/yr
Water Consumption|Industrial Water,km3/yr
Water Consumption|Irrigation,km3/yr
Water Consumption|Liquids,km3/yr
Water Consumption|Liquids|Biomass,km3/yr
Water Consumption|Liquids|Biomass|w/ CCS,km3/yr
Water Consumption|Liquids|Biomass|w/o CCS,km3/yr
Water Consumption|Liquids|Coal,km3/yr
Water Consumption|Liquids|Coal|w/ CCS,km3/yr
Water Consumption|Liquids|Coal|w/o CCS,km3/yr
Water Consumption|Liquids|Fossil,km3/yr
Water Consumption|Liquids|Fossil|w/ CCS,km3/yr
Water Consumption|Liquids|Fossil|w/o CCS,km3/yr
Water Consumption|Liquids|Gas,km3/yr
Water Consumption|Liquids|Gas|w/ CCS,km3/yr
Water Consumption|Liquids|Gas|w/o CCS,km3/yr
Water Consumption|Liquids|Oil,km3/yr
Water Consumption|Municipal Water,km3/yr
Water Withdrawal,km3/yr
Water Withdrawal|Electricity,km3/yr
Water Withdrawal|Electricity|Biomass,km3/yr
Water Withdrawal|Electricity|Biomass|w/ CCS,km3/yr
Water Withdrawal|Electricity|Biomass|w/o CCS,km3/yr
Water Withdrawal|Electricity|Coal,km3/yr
Water Withdrawal|Electricity|Coal|w/ CCS,km3/yr
Water Withdrawal|Electricity|Coal|w/o CCS,km3/yr
Water Withdrawal|Electricity|Cooling Pond,km3/yr
Water Withdrawal|Electricity|Dry Cooling,km3/yr
Water Withdrawal|Electricity|Fossil,km3/yr
Water Withdrawal|Electricity|Fossil|w/ CCS,km3/yr
Water Withdrawal|Electricity|Fossil|w/o CCS,km3/yr
Water Withdrawal|Electricity|Gas,km3/yr
Water Withdrawal|Electricity|Gas|w/ CCS,km3/yr
Water Withdrawal|Electricity|Gas|w/o CCS,km3/yr
Water Withdrawal|Electricity|Geothermal,km3/yr
Water Withdrawal|Electricity|Hydro,km3/yr
Water Withdrawal|Electricity|Non-Biomass Renewables,km3/yr
Water Withdrawal|Electricity|Nuclear,km3/yr
Water Withdrawal|Electricity|Ocean,km3/yr
Water Withdrawal|Electricity|Oil,km3/yr
Water Withdrawal|Electricity|Oil|w/ CCS,km3/yr
Water Withdrawal|Electricity|Oil|w/o CCS,km3/yr
Water Withdrawal|Electricity|Once Through,km3/yr
Water Withdrawal|Electricity|Other,km3/yr
Water Withdrawal|Electricity|Sea Cooling,km3/yr
Water Withdrawal|Electricity|Solar,km3/yr
Water Withdrawal|Electricity|Solar|CSP,km3/yr
Water Withdrawal|Electricity|Solar|PV,km3/yr
Water Withdrawal|Electricity|Wet Tower,km3/yr
Water Withdrawal|Electricity|Wind,km3/yr
Water Withdrawal|Extraction,km3/yr
Water Withdrawal|Extraction|Coal,km3/yr
Water Withdrawal|Extraction|Gas,km3/yr
Water Withdrawal|Extraction|Oil,km3/yr
Water Withdrawal|Extraction|Uranium,km3/yr
Water Withdrawal|Gases,km3/yr
Water Withdrawal|Gases|Biomass,km3/yr
Water Withdrawal|Gases|Coal,km3/yr
Water Withdrawal|Heat,km3/yr
Water Withdrawal|Heat|Biomass,km3/yr
Water Withdrawal|Heat|Coal,km3/yr
Water Withdrawal|Heat|Gas,km3/yr
Water Withdrawal|Heat|Geothermal,km3/yr
Water Withdrawal|Heat|Oil,km3/yr
Water Withdrawal|Heat|Other,km3/yr
Water Withdrawal|Hydrogen,km3/yr
Water Withdrawal|Hydrogen|Biomass,km3/yr
Water Withdrawal|Hydrogen|Biomass|w/ CCS,km3/yr
Water Withdrawal|Hydrogen|Biomass|w/o CCS,km3/yr
Water Withdrawal|Hydrogen|Coal,km3/yr
Water Withdrawal|Hydrogen|Coal|w/ CCS,km3/yr
Water Withdrawal|Hydrogen|Coal|w/o CCS,km3/yr
Water Withdrawal|Hydrogen|Electricity,km3/yr
Water Withdrawal|Hydrogen|Fossil,km3/yr
Water Withdrawal|Hydrogen|Fossil|w/ CCS,km3/yr
Water Withdrawal|Hydrogen|Fossil|w/o CCS,km3/yr
Water Withdrawal|Hydrogen|Gas,km3/yr
Water Withdrawal|Hydrogen|Gas|w/ CCS,km3/yr
Water Withdrawal|Hydrogen|Gas|w/o CCS,km3/yr
Water Withdrawal|Industrial Water,km3/yr
Water Withdrawal|Irrigation,km3/yr
Water Withdrawal|Liquids,km3/yr
Water Withdrawal|Liquids|Biomass,km3/yr
Water Withdrawal|Liquids|Biomass|w/ CCS,km3/yr
Water Withdrawal|Liquids|Biomass|w/o CCS,km3/yr
Water Withdrawal|Liquids|Coal,km3/yr
Water Withdrawal|Liquids|Coal|w/ CCS,km3/yr
Water Withdrawal|Liquids|Coal|w/o CCS,km3/yr
Water Withdrawal|Liquids|Fossil,km3/yr
Water Withdrawal|Liquids|Fossil|w/ CCS,km3/yr
Water Withdrawal|Liquids|Fossil|w/o CCS,km3/yr
Water Withdrawal|Liquids|Gas,km3/yr
Water Withdrawal|Liquids|Gas|w/ CCS,km3/yr
Water Withdrawal|Liquids|Gas|w/o CCS,km3/yr
Water Withdrawal|Liquids|Oil,km3/yr
Water Withdrawal|Municipal Water,km3/yr
Yield|Bioenergy|2nd generation,t DM/ha/yr
Yield|Cereal,t DM/ha/yr
Yield|Oilcrops,t DM/ha/yr
Yield|Sugarcrops,t DM/ha/yr
